retroID,Y,team,W,L,G,GS,IP,SO,BAA,ERA
moyej001,2005,SEA,13,7,32,32,600,102,0.28300000000000003,4.28
moyej001,2006,SEA,6,12,25,25,480,82,0.285,4.39
moyej001,2007,PHI,14,12,33,33,598,133,0.285,5.01
moyej001,2008,PHI,16,7,33,33,589,123,0.262,3.71
moyej001,2009,PHI,12,10,30,25,486,94,0.27899999999999997,4.94
moyej001,2010,PHI,9,9,19,19,335,63,0.24,4.84
muldm001,2003,OAK,15,9,26,26,560,128,0.259,3.13
muldm001,2004,OAK,17,8,33,33,677,140,0.264,4.43
muldm001,2005,SLN,16,8,32,32,615,111,0.273,3.64
muldm001,2006,SLN,6,7,17,17,280,50,0.327,7.14
mussm001,2003,NYA,17,8,31,31,644,195,0.23800000000000002,3.4
mussm001,2004,NYA,12,9,27,27,494,132,0.276,4.59
mussm001,2005,NYA,13,8,30,30,539,142,0.284,4.41
mussm001,2006,NYA,15,7,32,32,592,172,0.24100000000000002,3.51
mussm001,2007,NYA,11,10,28,27,456,91,0.311,5.15
mussm001,2008,NYA,20,9,34,34,601,150,0.278,3.37
myerb001,2003,PHI,14,9,32,32,579,143,0.272,4.43
myerb001,2004,PHI,11,11,32,31,528,116,0.281,5.52
myerb001,2005,PHI,13,8,34,34,646,208,0.237,3.72
myerb001,2006,PHI,12,7,31,31,594,189,0.257,3.91
myerb001,2008,PHI,10,13,30,30,570,163,0.267,4.55
myerb001,2010,HOU,14,8,33,33,671,180,0.248,3.14
myerb001,2011,HOU,7,14,34,33,648,160,0.267,4.46
nomoh001,2003,LAN,16,13,33,33,655,177,0.223,3.09
nomoh001,2004,LAN,4,11,18,18,252,54,0.312,8.25
nomoh001,2005,TBA,5,8,19,19,302,59,0.314,7.24
ohkat001,2003,WAS,10,12,34,34,597,118,0.292,4.16
ohkat001,2004,WAS,3,7,15,15,254,38,0.28800000000000003,3.4
ohkat001,2005,MIL,7,6,22,20,379,81,0.285,4.35
ohkat001,2006,MIL,4,5,18,18,291,50,0.266,4.82
olivd001,2003,COL,13,11,33,32,541,88,0.284,5.04
ortir002,2003,ANA,16,13,32,32,540,94,0.287,5.2
ortir002,2004,ANA,5,7,34,14,384,82,0.28,4.43
ortir002,2005,CIN,9,11,30,30,514,96,0.302,5.36
ortir002,2006,WAS,11,16,33,33,572,104,0.297,5.57
ortir001,2003,ATL,21,7,34,34,637,149,0.223,3.81
